Area,BHK,Bathroom,Furnishing,Parking,Price,Transaction,Type,Price Per_Sqft
900,2,2,Semi-Furnished,1,6500000,Resale,Apartment,7222
713,3,1,Unfurnished,1,8000000,Resale,Apartment,11220
504,2,1,Furnished,1,2700000,Resale,Builder_Floor,5357
70,1,2,Unfurnished,1,4500000,Resale,Apartment,5357
850,3,2,Furnished,1,5700000,Resale,Builder_Floor,6706
2430,4,3,Furnished,1,25000000,Resale,Builder_Floor,10288
2475,3,3,Furnished,1,70000000,Resale,Builder_Floor,28283
2970,7,4,Furnished,1,26500000,Resale,Builder_Floor,8923
2250,3,2,Furnished,1,18500000,Resale,Builder_Floor,8222
1500,5,3,Furnished,1,30000000,Resale,Builder_Floor,20000
1512,2,2,Furnished,1,22000000,Resale,Builder_Floor,14550
400,2,2,Furnished,1,9000000,Resale,Builder_Floor,14550
2160,3,3,Furnished,1,65000000,Resale,Builder_Floor,30093
630,3,2,Furnished,1,22500000,Resale,Builder_Floor,35714
324,6,3,Furnished,1,8700000,Resale,Builder_Floor,35714
720,6,5,Furnished,1,22000000,Resale,Builder_Floor,35714
675,4,2,Furnished,2,18500000,Resale,Builder_Floor,35714
700,2,1,Furnished,2,16000000,New_Property,Builder_Floor,22857
675,4,3,Furnished,2,16000000,Resale,Builder_Floor,22857
720,4,2,Furnished,2,9000000,Resale,Builder_Floor,12500
850,2,2,Furnished,1,4500000,Resale,Builder_Floor,12500
801,3,2,Semi-Furnished,1,6000000,New_Property,Builder_Floor,
450,1,2,Unfurnished,1,2700000,Resale,Builder_Floor,
1000,3,2,Unfurnished,1,6500000,Resale,Apartment,
990,3,2,Unfurnished,1,4000000,Resale,Apartment,4040
420,2,1,Semi-Furnished,1,2600000,New_Property,Builder_Floor,4040
450,2,1,Semi-Furnished,1,3500000,Resale,Builder_Floor,7778
1000,2,2,Unfurnished,1,7500000,Resale,Apartment,7778
900,3,2,Semi-Furnished,1,7000000,Resale,Builder_Floor,7778
800,3,2,Semi-Furnished,1,4500000,New_Property,Builder_Floor,7778
720,3,3,Semi-Furnished,2,5500000,Resale,Builder_Floor,7778
450,2,1,Semi-Furnished,2,2700000,New_Property,Builder_Floor,7778
675,2,2,Furnished,2,2400000,Resale,Builder_Floor,32000
1700,4,3,Unfurnished,2,11500000,New_Property,Builder_Floor,32000
550,2,2,Unfurnished,2,3600000,New_Property,Builder_Floor,32000
387,1,2,Unfurnished,2,1700000,New_Property,Builder_Floor,32000
450,2,1,Unfurnished,2,2500000,Resale,Apartment,32000
900,4,2,Furnished,1,6600000,Resale,Builder_Floor,32000
500,2,1,Semi-Furnished,1,3700000,Resale,Builder_Floor,32000
441,2,1,Unfurnished,1,3500000,Resale,Apartment,32000
800,3,2,Semi-Furnished,1,5400000,Resale,Builder_Floor,32000
450,2,2,Semi-Furnished,1,2550000,New_Property,Builder_Floor,5666
1000,3,3,Furnished,1,12500000,Resale,Builder_Floor,5666
715,2,2,Unfurnished,1,5600000,Resale,Apartment,5666
600,2,2,Unfurnished,1,7000000,Resale,Builder_Floor,11667
540,2,1,Unfurnished,1,3500000,Resale,Builder_Floor,11667
312,4,4,Furnished,1,35000000,Resale,Apartment,112179
810,3,2,Semi-Furnished,1,9000000,Resale,Builder_Floor,11111
270,1,1,Semi-Furnished,1,2300000,Resale,Builder_Floor,11111
900,3,2,Semi-Furnished,1,6000000,Resale,Builder_Floor,11111
1000,3,2,Unfurnished,1,6000000,Resale,Apartment,11111
